RBP,Cell_line,eCLIP_exp,Control_exp,Experiment Fastq Files,Experiment Bam Files,Peak Files,Reproducible Peak Files,Input ID,Input Fastq Files,Input Bam Files
SND1,HepG2,ENCSR061EVO,ENCSR167OYL,"ENCFF886NVW,ENCFF303YBI,ENCFF169YJW,ENCFF335KAS","ENCFF827JFL,ENCFF174TXM","ENCFF054ZXE,ENCFF749TYO",ENCFF101EKG,SND1 eCLIP mock input,"ENCFF354GQD,ENCFF431GGI",ENCFF543YCY
XRCC6,HepG2,ENCSR571ROL,ENCSR044NGV,"ENCFF464GUK,ENCFF202EFD,ENCFF246PWB,ENCFF632XDW","ENCFF021CNP,ENCFF128IDP","ENCFF225IXQ,ENCFF381LFD",ENCFF656IDO,XRCC6 eCLIP mock input,"ENCFF656XSL,ENCFF574XRV",ENCFF350VUK
SRSF1,K562,ENCSR432XUP,ENCSR925TYQ,"ENCFF776RIU,ENCFF982ZPQ,ENCFF632XBD,ENCFF559MWF","ENCFF374XWQ,ENCFF833PXB","ENCFF609IXO,ENCFF287KWV",ENCFF788UFQ,SRSF1 eCLIP mock input,"ENCFF017BEN,ENCFF376PZO",ENCFF913MGS
FXR1,K562,ENCSR774RFN,ENCSR562BJW,"ENCFF004KTT,ENCFF191BRO,ENCFF956CKP,ENCFF205KCE","ENCFF070XXP,ENCFF716VUM","ENCFF464GTB,ENCFF678MSG",ENCFF310NDD,FXR1 eCLIP mock input,"ENCFF608BOA,ENCFF742KQJ",ENCFF589FSV
SND1,K562,ENCSR128VXC,ENCSR435EVK,"ENCFF237HET,ENCFF871WGQ,ENCFF128MAP,ENCFF157LOT","ENCFF367EEH,ENCFF612RZN","ENCFF677MQI,ENCFF479VZE",ENCFF331VCF,SND1 eCLIP mock input,"ENCFF056XTI,ENCFF711IGJ",ENCFF502YXG
HNRNPUL1,HepG2,ENCSR755TJC,ENCSR643JMB,"ENCFF007BKB,ENCFF956VZN,ENCFF648UJC,ENCFF168AGB","ENCFF398LMC,ENCFF076JEG","ENCFF676GXG,ENCFF801KHR",ENCFF355WVE,HNRNPUL1 eCLIP mock input,"ENCFF300XRU,ENCFF382BPZ",ENCFF647EHU
LIN28B,K562,ENCSR970NKP,ENCSR399CBP,"ENCFF110KUU,ENCFF961JRQ,ENCFF594JCF,ENCFF557FKM","ENCFF134BOJ,ENCFF103UQK","ENCFF823WIW,ENCFF823UGV",ENCFF540UOQ,LIN28B eCLIP mock input,"ENCFF064SDM,ENCFF870VFV",ENCFF981KYA
HNRNPK,K562,ENCSR268ETU,ENCSR669DKA,"ENCFF228HUK,ENCFF335HRO,ENCFF900FEK,ENCFF169OLG","ENCFF525XIM,ENCFF049KXT","ENCFF769QNG,ENCFF079MYZ",ENCFF448SCQ,HNRNPK eCLIP mock input,"ENCFF223QBU,ENCFF280QZL",ENCFF742LSN
RBM22,K562,ENCSR295OKT,ENCSR344EGD,"ENCFF981SGX,ENCFF163RYF,ENCFF080OLT,ENCFF999SQE","ENCFF828HVQ,ENCFF367YKB","ENCFF074GNZ,ENCFF020UVE",ENCFF039FGP,RBM22 eCLIP mock input,"ENCFF672MVA,ENCFF135PIG",ENCFF556BXK
ILF3,K562,ENCSR438KWZ,ENCSR760SFB,"ENCFF412NAX,ENCFF585YOO,ENCFF526EKC,ENCFF824RQD","ENCFF958RKH,ENCFF415JAG","ENCFF821QFO,ENCFF857MJR",ENCFF370GDB,ILF3 eCLIP mock input,"ENCFF495ZOZ,ENCFF535YZW",ENCFF715OWV
TAF15,K562,ENCSR568DZW,ENCSR653CNZ,"ENCFF798VKV,ENCFF646IFT,ENCFF364URW,ENCFF915ATC","ENCFF959XVH,ENCFF797IKQ","ENCFF979IVI,ENCFF783IGF",ENCFF131ZWK,TAF15 eCLIP mock input,"ENCFF868SVO,ENCFF895IJH",ENCFF252UPV
TARDBP,K562,ENCSR584TCR,ENCSR924OLO,"ENCFF661TYX,ENCFF734UEC,ENCFF147JYD,ENCFF218BOC","ENCFF565CEU,ENCFF453YOD","ENCFF697CMV,ENCFF333KPU",ENCFF259NLI,TARDBP eCLIP mock input,"ENCFF558NTZ,ENCFF333DTJ",ENCFF887NON
DGCR8,K562,ENCSR947JVR,ENCSR616BTD,"ENCFF969KXX,ENCFF370UVC,ENCFF905DBX,ENCFF162KZD","ENCFF614EMY,ENCFF491LUG","ENCFF887LSX,ENCFF735UHA",ENCFF239WCW,DGCR8 eCLIP mock input,"ENCFF389CTP,ENCFF933TIF",ENCFF291ITN
GTF2F1,K562,ENCSR736AAG,ENCSR157BRV,"ENCFF372THP,ENCFF044HRW,ENCFF634ATL,ENCFF520MEC","ENCFF189QBX,ENCFF215OMD","ENCFF739CHZ,ENCFF968DUU",ENCFF445JRX,GTF2F1 eCLIP mock input,"ENCFF317QOW,ENCFF057SJT",ENCFF135DTM
