RBP,Cell_line,RNA-Seq_exp,Control_exp,RBP knockdown fastq files,RBP knockdown bam files,RBP knockdown RSEM,RBP knockdown CUFFDIFF,RBP knockdown DESeq,RBP knockdown MISO,RBP knockdown rMATS,RBP knockdown DESeq after batch Correction,RBP knockdown rMATS after batch Correction,Non-target control datasets,Control fastq files,Control bam files,Control RSEM
RBM22,HepG2,ENCSR330KHN,ENCSR997HCQ,"ENCFF986CJT,ENCFF495USF,ENCFF144WRK,ENCFF103BIV","ENCFF776RHY,ENCFF475XDR","ENCFF418ZTW,ENCFF965ZCJ",ENCFF307JNO,ENCFF768GAH,ENCFF525YPQ,ENCFF922RAP,ENCFF026PKC,ENCFF067HFZ,non-target,"ENCFF970XPJ,ENCFF295GVT,ENCFF447YTB,ENCFF210CQX","ENCFF715VOF,ENCFF515ZFQ","ENCFF264PIV,ENCFF653VIH"
BCCIP,HepG2,ENCSR570CWH,ENCSR856ZRV,"ENCFF135KIN,ENCFF426CCB,ENCFF225QRN,ENCFF291SQT","ENCFF022PCS,ENCFF596JEB","ENCFF938GXB,ENCFF311BCU",ENCFF764AFV,ENCFF846USG,ENCFF798UIM,ENCFF113SHL,ENCFF602SMI,ENCFF307LGJ,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
TAF15,HepG2,ENCSR998RZI,ENCSR603TCV,"ENCFF893BDX,ENCFF433AVB,ENCFF093YUX,ENCFF643FDI","ENCFF166NGR,ENCFF970XIQ","ENCFF737VCN,ENCFF650YBC",ENCFF377CBN,ENCFF246KVW,ENCFF516IMU,ENCFF085OYI,ENCFF258SBL,ENCFF359SZC,non-target,"ENCFF025YLM,ENCFF697WWV,ENCFF317AWM,ENCFF023MFT","ENCFF755GKJ,ENCFF571ARP","ENCFF334SUT,ENCFF262BZV"
PRPF4,HepG2,ENCSR215FRI,ENCSR584UYK,"ENCFF503GXO,ENCFF677ZMU,ENCFF824CXQ,ENCFF272MLI","ENCFF457GXY,ENCFF697MAC","ENCFF465ZHB,ENCFF676WIT",ENCFF027RZD,ENCFF415CZS,ENCFF455TLW,ENCFF877LQB,ENCFF769CFH,ENCFF554JYR,non-target,"ENCFF258AKK,ENCFF028JDE,ENCFF988NMV,ENCFF205QCK","ENCFF946XBA,ENCFF752TEZ","ENCFF362OVH,ENCFF502YGT"
DDX19B,HepG2,ENCSR312SFA,ENCSR538QOG,"ENCFF228IQM,ENCFF724OXW,ENCFF699VTS,ENCFF424JYZ","ENCFF532JTC,ENCFF117UAS","ENCFF656QZR,ENCFF455NJX",ENCFF152JVZ,ENCFF012XMG,ENCFF035FKZ,ENCFF939FHE,ENCFF022FFS,ENCFF784IIY,non-target,"ENCFF077URG,ENCFF909KFE,ENCFF924TZR,ENCFF949KOY","ENCFF823MST,ENCFF579IAU","ENCFF725CZV,ENCFF970SMH"
SSRP1,HepG2,ENCSR422JMS,ENCSR246RRQ,"ENCFF552RBM,ENCFF969GRN,ENCFF755SFS,ENCFF887BCE","ENCFF286DGD,ENCFF502YFG","ENCFF218LFY,ENCFF507SBR",ENCFF837NMN,ENCFF968VSU,ENCFF280HLY,ENCFF218QJX,ENCFF274MRI,ENCFF224CDK,non-target,"ENCFF667DSW,ENCFF963KVV,ENCFF139GST,ENCFF599WQS","ENCFF975SQY,ENCFF776ARB","ENCFF037HIB,ENCFF190SRU"
CPSF7,HepG2,ENCSR594DNW,ENCSR067GHD,"ENCFF993GUS,ENCFF679MCW,ENCFF796TFA,ENCFF603LXK","ENCFF970UME,ENCFF387KJD","ENCFF553TPL,ENCFF502RZK",ENCFF704HEM,ENCFF775IDP,ENCFF417QRG,ENCFF363OQM,ENCFF915TDR,ENCFF127NOK,non-target,"ENCFF773HLT,ENCFF768JSC,ENCFF914FKR,ENCFF838TBG","ENCFF774FAK,ENCFF103PVI","ENCFF990KGR,ENCFF992TTT"
AGGF1,HepG2,ENCSR437GYG,ENCSR853AOV,"ENCFF828KDR,ENCFF732QPC,ENCFF887NBC,ENCFF226VRJ","ENCFF265NOS,ENCFF644TFQ","ENCFF057UVW,ENCFF819IWF",ENCFF527GHH,ENCFF935TNW,ENCFF686RFR,ENCFF550CHQ,ENCFF174YMP,ENCFF257PZG,non-target,"ENCFF683KQQ,ENCFF224AVH,ENCFF784BBJ,ENCFF559ZHD","ENCFF030GVE,ENCFF996LFJ","ENCFF074PYI,ENCFF639KOJ"
HNRNPA2B1,HepG2,ENCSR769GES,ENCSR042QTH,"ENCFF206QPT,ENCFF754KCM,ENCFF357UIE,ENCFF267SMC","ENCFF273EDC,ENCFF575VSD","ENCFF766EKQ,ENCFF916MHO",ENCFF735FFJ,ENCFF354QON,ENCFF616THT,ENCFF253EVL,ENCFF169PRD,ENCFF735BWW,non-target,"ENCFF399RNY,ENCFF964LLJ,ENCFF546VNH,ENCFF420URE","ENCFF829TUN,ENCFF350VVR","ENCFF726AVT,ENCFF657KMW"
PCBP1,HepG2,ENCSR635FRH,ENCSR603TCV,"ENCFF894PPR,ENCFF793CAH,ENCFF405SQY,ENCFF703PUD","ENCFF182FFM,ENCFF540GDB","ENCFF308JFX,ENCFF580NNE",ENCFF029VVQ,ENCFF320AIK,ENCFF347KUL,ENCFF142HVI,ENCFF011YCX,ENCFF952VVF,non-target,"ENCFF025YLM,ENCFF697WWV,ENCFF317AWM,ENCFF023MFT","ENCFF755GKJ,ENCFF571ARP","ENCFF334SUT,ENCFF262BZV"
EIF4G2,HepG2,ENCSR152MON,ENCSR042QTH,"ENCFF765UCN,ENCFF515SNE,ENCFF137TXG,ENCFF506RQT","ENCFF723TPD,ENCFF125SRX","ENCFF384ACJ,ENCFF629VSC",ENCFF527PQX,ENCFF072TSB,ENCFF527TUX,ENCFF633FYI,ENCFF954OVV,ENCFF471UFT,non-target,"ENCFF399RNY,ENCFF964LLJ,ENCFF546VNH,ENCFF420URE","ENCFF829TUN,ENCFF350VVR","ENCFF726AVT,ENCFF657KMW"
SMN1,HepG2,ENCSR090UMI,ENCSR305XWT,"ENCFF150JZE,ENCFF540JXJ,ENCFF808LTK,ENCFF927OEA","ENCFF269ZGN,ENCFF781TAZ","ENCFF083WKP,ENCFF914XJD",ENCFF545PHA,ENCFF475JRB,ENCFF015ULV,ENCFF812NYN,ENCFF944KFT,ENCFF381LBB,non-target,"ENCFF711JSH,ENCFF941XAQ,ENCFF701KJC,ENCFF603JIF","ENCFF460AAE,ENCFF058QDT","ENCFF024EGT,ENCFF939PSG"
FUBP3,HepG2,ENCSR755KOM,ENCSR376RJN,"ENCFF248GRO,ENCFF173UFY,ENCFF124VMT,ENCFF148CWS","ENCFF974DGK,ENCFF642RQE","ENCFF585QWZ,ENCFF027JEH",ENCFF703PGV,ENCFF550CBD,ENCFF589QAY,ENCFF185NOL,ENCFF097VCV,ENCFF108PDC,non-target,"ENCFF822VTP,ENCFF901ECG,ENCFF342YJO,ENCFF054FSD","ENCFF222QRV,ENCFF435FCA","ENCFF803UDC,ENCFF145DFH"
EIF2S2,HepG2,ENCSR110HAA,ENCSR067GHD,"ENCFF999OKL,ENCFF428FIL,ENCFF632VKY,ENCFF767DDJ","ENCFF137QNH,ENCFF084VUF","ENCFF388KYN,ENCFF312YHC",ENCFF875YKJ,ENCFF930WKL,ENCFF843YWQ,ENCFF854OGA,ENCFF302OQX,ENCFF815OSV,non-target,"ENCFF773HLT,ENCFF768JSC,ENCFF914FKR,ENCFF838TBG","ENCFF774FAK,ENCFF103PVI","ENCFF990KGR,ENCFF992TTT"
DDX1,HepG2,ENCSR070LJO,ENCSR305XWT,"ENCFF486ESG,ENCFF425EBC,ENCFF848IFD,ENCFF057FUX","ENCFF562PGS,ENCFF516CJR","ENCFF194PTJ,ENCFF559WSX",ENCFF567DVF,ENCFF939KQN,ENCFF689PGG,ENCFF011UKQ,ENCFF140AKL,ENCFF851TGG,non-target,"ENCFF711JSH,ENCFF941XAQ,ENCFF701KJC,ENCFF603JIF","ENCFF460AAE,ENCFF058QDT","ENCFF024EGT,ENCFF939PSG"
AATF,HepG2,ENCSR424YSV,ENCSR003EKR,"ENCFF434WFA,ENCFF495VXI,ENCFF695STL,ENCFF094WZU","ENCFF800WEJ,ENCFF159JHT","ENCFF894KMA,ENCFF204TFW",ENCFF644NNP,ENCFF289EBS,ENCFF398FXQ,ENCFF247GPF,ENCFF248XGQ,ENCFF011FRH,non-target,"ENCFF866KCW,ENCFF518SUL,ENCFF361RLP,ENCFF043VJU","ENCFF383QRK,ENCFF200WXE","ENCFF849QNH,ENCFF972SEZ"
SRSF4,HepG2,ENCSR471INA,ENCSR853AOV,"ENCFF472XFX,ENCFF126SEY,ENCFF229LJE,ENCFF305DES","ENCFF204PDZ,ENCFF527ZRT","ENCFF279PMA,ENCFF321FXQ",ENCFF529NXC,ENCFF299XTH,ENCFF741NER,ENCFF026ORM,ENCFF534YIC,ENCFF858LBB,non-target,"ENCFF683KQQ,ENCFF224AVH,ENCFF784BBJ,ENCFF559ZHD","ENCFF030GVE,ENCFF996LFJ","ENCFF074PYI,ENCFF639KOJ"
QKI,HepG2,ENCSR330YOU,ENCSR603TCV,"ENCFF914WNL,ENCFF304XCG,ENCFF627LXX,ENCFF448FXJ","ENCFF262GAC,ENCFF610CID","ENCFF819QNN,ENCFF055ALR",ENCFF307SYK,ENCFF282YKN,ENCFF476IAA,ENCFF250LPK,ENCFF451CGT,ENCFF473CMJ,non-target,"ENCFF025YLM,ENCFF697WWV,ENCFF317AWM,ENCFF023MFT","ENCFF755GKJ,ENCFF571ARP","ENCFF334SUT,ENCFF262BZV"
UCHL5,HepG2,ENCSR684HTV,ENCSR856ZRV,"ENCFF723LLW,ENCFF766IGS,ENCFF986VVL,ENCFF652ZDY","ENCFF447JFQ,ENCFF509OED","ENCFF810XYT,ENCFF333AHS",ENCFF192QNV,ENCFF531GHR,ENCFF525ZYL,ENCFF567FNF,ENCFF037KGI,ENCFF211PFB,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
NAA15,HepG2,ENCSR355OQC,ENCSR067GHD,"ENCFF139NPY,ENCFF943RCH,ENCFF964IEU,ENCFF824VKD","ENCFF515TAC,ENCFF880YEJ","ENCFF181FMH,ENCFF085DNF",ENCFF716LAU,ENCFF122OZQ,ENCFF311NPW,ENCFF432CYG,ENCFF562EVO,ENCFF690FWV,non-target,"ENCFF773HLT,ENCFF768JSC,ENCFF914FKR,ENCFF838TBG","ENCFF774FAK,ENCFF103PVI","ENCFF990KGR,ENCFF992TTT"
CNOT7,HepG2,ENCSR274KWA,ENCSR279HMU,"ENCFF661WGF,ENCFF494VXS,ENCFF999GET,ENCFF518WZQ","ENCFF983DDC,ENCFF690GXX","ENCFF848LEI,ENCFF774ZTI",ENCFF979PQC,ENCFF214HVQ,ENCFF769VGU,ENCFF877KYH,ENCFF817LPW,ENCFF318UUV,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
KIF1C,HepG2,ENCSR182GKG,ENCSR538QOG,"ENCFF906JJU,ENCFF009CEM,ENCFF378OUM,ENCFF867EMI","ENCFF729YOG,ENCFF693JST","ENCFF302HMH,ENCFF671VNN",ENCFF249LHY,ENCFF772JXP,ENCFF932PYX,ENCFF994ZTG,ENCFF317FCY,ENCFF481ZIF,non-target,"ENCFF077URG,ENCFF909KFE,ENCFF924TZR,ENCFF949KOY","ENCFF823MST,ENCFF579IAU","ENCFF725CZV,ENCFF970SMH"
PPIL4,HepG2,ENCSR851KEX,ENCSR305XWT,"ENCFF096QZQ,ENCFF641GOX,ENCFF551HJB,ENCFF794TDS","ENCFF291VAA,ENCFF178YXP","ENCFF469SQG,ENCFF729NVU",ENCFF372EWV,ENCFF286LDD,ENCFF059GHE,ENCFF038KXE,ENCFF152APJ,ENCFF068SXV,non-target,"ENCFF711JSH,ENCFF941XAQ,ENCFF701KJC,ENCFF603JIF","ENCFF460AAE,ENCFF058QDT","ENCFF024EGT,ENCFF939PSG"
DNAJC21,HepG2,ENCSR385KOY,ENCSR305XWT,"ENCFF399PPE,ENCFF268LME,ENCFF307IXW,ENCFF998CGM","ENCFF698MTR,ENCFF531GWL","ENCFF539TBE,ENCFF160CKS",ENCFF829TVJ,ENCFF731BZE,ENCFF752UNB,ENCFF155GJR,ENCFF740QWY,ENCFF845UQD,non-target,"ENCFF711JSH,ENCFF941XAQ,ENCFF701KJC,ENCFF603JIF","ENCFF460AAE,ENCFF058QDT","ENCFF024EGT,ENCFF939PSG"
RPS5,HepG2,ENCSR838SMC,ENCSR674KEK,"ENCFF300MKG,ENCFF915IUK,ENCFF274QSX,ENCFF798NIQ","ENCFF321UEF,ENCFF438JSV","ENCFF696UYJ,ENCFF888IPH",ENCFF943SAL,ENCFF018QFE,ENCFF778QNW,ENCFF484ACF,ENCFF336JRB,ENCFF044MWE,non-target,"ENCFF006QAK,ENCFF278VBD,ENCFF613HXG,ENCFF989HXZ","ENCFF505HKR,ENCFF142SQX","ENCFF252YUA,ENCFF909SGR"
DDX28,HepG2,ENCSR222CSF,ENCSR856ZRV,"ENCFF449SRE,ENCFF265ESV,ENCFF077QGG,ENCFF030DXO","ENCFF545CXX,ENCFF088AZS","ENCFF293UWH,ENCFF917WOG",ENCFF632DMU,ENCFF574KOP,ENCFF503GTD,ENCFF238ALG,ENCFF133CXE,ENCFF925HJD,non-target,"ENCFF385GEX,ENCFF922CDR,ENCFF403CZA,ENCFF278TEH","ENCFF705LNP,ENCFF038LUH","ENCFF231SUG,ENCFF533PXL"
XRCC5,HepG2,ENCSR732IYM,ENCSR491FOC,"ENCFF020VSG,ENCFF251WQU,ENCFF195DCN,ENCFF303SBJ","ENCFF356YKU,ENCFF599PLA","ENCFF949GPP,ENCFF973MSY",ENCFF707CUG,ENCFF431UPW,ENCFF782BUF,ENCFF065PFM,ENCFF871HSM,ENCFF499YDC,non-target,"ENCFF813XBJ,ENCFF276KEO,ENCFF307YSL,ENCFF823EPB","ENCFF326XKY,ENCFF712XJM","ENCFF243JZQ,ENCFF266MHP"
HDGF,HepG2,ENCSR634KHL,ENCSR538QOG,"ENCFF072XHS,ENCFF545AUF,ENCFF075ACC,ENCFF128LJM","ENCFF359JYW,ENCFF803TTT","ENCFF868TZM,ENCFF911RPA",ENCFF255JRC,ENCFF580CJS,ENCFF502NLE,ENCFF277MOQ,ENCFF214VCE,ENCFF566JYL,non-target,"ENCFF077URG,ENCFF909KFE,ENCFF924TZR,ENCFF949KOY","ENCFF823MST,ENCFF579IAU","ENCFF725CZV,ENCFF970SMH"
NUSAP1,HepG2,ENCSR180XTP,ENCSR674KEK,"ENCFF564SYZ,ENCFF540QSP,ENCFF592HYZ,ENCFF412MVK","ENCFF492TDD,ENCFF052IMO","ENCFF595JOG,ENCFF273NUV",ENCFF378FTG,ENCFF386XSU,ENCFF466PKM,ENCFF326MRI,ENCFF734HQV,ENCFF961ROW,non-target,"ENCFF006QAK,ENCFF278VBD,ENCFF613HXG,ENCFF989HXZ","ENCFF505HKR,ENCFF142SQX","ENCFF252YUA,ENCFF909SGR"
HLTF,HepG2,ENCSR010ZMZ,ENCSR491FOC,"ENCFF813VOG,ENCFF609BMN,ENCFF056CJO,ENCFF216XSN","ENCFF120YPA,ENCFF791RLG","ENCFF152IIO,ENCFF613REQ",ENCFF472ZVY,ENCFF060TAD,ENCFF214QRR,ENCFF558ETL,ENCFF051DFK,ENCFF265BEJ,non-target,"ENCFF813XBJ,ENCFF276KEO,ENCFF307YSL,ENCFF823EPB","ENCFF326XKY,ENCFF712XJM","ENCFF243JZQ,ENCFF266MHP"
RBM27,HepG2,ENCSR222SMI,ENCSR674KEK,"ENCFF491ZUL,ENCFF902HPG,ENCFF542HCB,ENCFF844NNV","ENCFF377BGQ,ENCFF457JDA","ENCFF035CDE,ENCFF963ZAD",ENCFF840SFN,ENCFF676BAS,ENCFF196ORY,ENCFF550ODW,ENCFF784WSC,ENCFF692ZNN,non-target,"ENCFF006QAK,ENCFF278VBD,ENCFF613HXG,ENCFF989HXZ","ENCFF505HKR,ENCFF142SQX","ENCFF252YUA,ENCFF909SGR"
CKAP4,HepG2,ENCSR269SJB,ENCSR538QOG,"ENCFF915KRE,ENCFF043TEG,ENCFF200VYJ,ENCFF274EDD","ENCFF860SKR,ENCFF219MPL","ENCFF140CVY,ENCFF474IBM",ENCFF472WZR,ENCFF377JVY,ENCFF219XCW,ENCFF771LPG,ENCFF171LXH,ENCFF737VRC,non-target,"ENCFF077URG,ENCFF909KFE,ENCFF924TZR,ENCFF949KOY","ENCFF823MST,ENCFF579IAU","ENCFF725CZV,ENCFF970SMH"
EXOSC5,HepG2,ENCSR284SZO,ENCSR521WAI,"ENCFF660WJN,ENCFF007PXN,ENCFF627DFL,ENCFF682EZT","ENCFF550CTA,ENCFF449RNE","ENCFF432BDU,ENCFF919CQH",ENCFF824AOC,ENCFF338PTW,ENCFF291ACY,ENCFF319HBS,ENCFF111PSM,ENCFF305CHW,non-target,"ENCFF552VOE,ENCFF100IFZ,ENCFF230IAI,ENCFF550QYI","ENCFF729LZA,ENCFF872YYA","ENCFF564PPK,ENCFF879PGY"
MARK2,HepG2,ENCSR105OXX,ENCSR674KEK,"ENCFF450QIC,ENCFF390SHS,ENCFF026IRI,ENCFF123FGM","ENCFF393QCL,ENCFF865DXQ","ENCFF605LLZ,ENCFF960HUM",ENCFF172VIE,ENCFF036NDL,ENCFF846RNJ,ENCFF474WTW,ENCFF991HCL,ENCFF122SNF,non-target,"ENCFF006QAK,ENCFF278VBD,ENCFF613HXG,ENCFF989HXZ","ENCFF505HKR,ENCFF142SQX","ENCFF252YUA,ENCFF909SGR"
ADAR,HepG2,ENCSR104OLN,ENCSR305XWT,"ENCFF738RTQ,ENCFF593ERZ,ENCFF686HPW,ENCFF526HRE","ENCFF841CBS,ENCFF087IGP","ENCFF790RYO,ENCFF838RLW",ENCFF795HSA,ENCFF666YTL,ENCFF425TMQ,ENCFF624GDX,ENCFF658QWX,ENCFF503EVQ,non-target,"ENCFF711JSH,ENCFF941XAQ,ENCFF701KJC,ENCFF603JIF","ENCFF460AAE,ENCFF058QDT","ENCFF024EGT,ENCFF939PSG"
NCBP2,HepG2,ENCSR030ARO,ENCSR237YZT,"ENCFF863EAW,ENCFF264BXG,ENCFF387EGG,ENCFF259UPG","ENCFF664TKJ,ENCFF974BIC","ENCFF974QEM,ENCFF713NPI",ENCFF201WXV,ENCFF399EUL,ENCFF846ISK,ENCFF089NIH,ENCFF260YUU,ENCFF797CUZ,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
CCAR2,HepG2,ENCSR237IWZ,ENCSR674KEK,"ENCFF630LSV,ENCFF711HYW,ENCFF089FAQ,ENCFF660XEW","ENCFF039KBZ,ENCFF066MMV","ENCFF466ATR,ENCFF398ULY",ENCFF637YTY,ENCFF872UVG,ENCFF006BPQ,ENCFF546DNE,ENCFF935ZTW,ENCFF636KUL,non-target,"ENCFF006QAK,ENCFF278VBD,ENCFF613HXG,ENCFF989HXZ","ENCFF505HKR,ENCFF142SQX","ENCFF252YUA,ENCFF909SGR"
DROSHA,HepG2,ENCSR991XFO,ENCSR481WJH,"ENCFF828XAK,ENCFF540UNK,ENCFF520YFE,ENCFF982WYQ","ENCFF954PQI,ENCFF523OXV","ENCFF062LLJ,ENCFF616XEQ",ENCFF247QJF,ENCFF453KZT,ENCFF961ZNZ,ENCFF487TZF,ENCFF571TMT,ENCFF640LVX,non-target,"ENCFF460YOT,ENCFF051FJX,ENCFF737CSN,ENCFF782QYO","ENCFF843QOP,ENCFF432WNR","ENCFF763ZJL,ENCFF333VAN"
DDX5,HepG2,ENCSR808FBR,ENCSR776SXA,"ENCFF072ANJ,ENCFF760ARJ,ENCFF813CCQ,ENCFF774OZE","ENCFF290HIA,ENCFF243LRE","ENCFF604VBS,ENCFF043YRJ",ENCFF129GHS,ENCFF633GUT,ENCFF734HCP,ENCFF639CJK,ENCFF823NTC,ENCFF272IPS,non-target,"ENCFF325DLF,ENCFF616AQI,ENCFF307YSL,ENCFF823EPB","ENCFF519YTY,ENCFF712XJM","ENCFF539FKS,ENCFF266MHP"
SF3B1,HepG2,ENCSR896CFV,ENCSR264TUE,"ENCFF350JEN,ENCFF474OSW,ENCFF492IOZ,ENCFF243BZZ","ENCFF911MWC,ENCFF686NSC","ENCFF744BGI,ENCFF610YJC",ENCFF239HCE,ENCFF545FCT,ENCFF893YRB,ENCFF887UWA,ENCFF891WHI,ENCFF297UCZ,non-target,"ENCFF427IYE,ENCFF554VFV,ENCFF032JQZ,ENCFF191JJU","ENCFF742IJE,ENCFF231NKH","ENCFF324NDP,ENCFF562MRH"
RBM17,HepG2,ENCSR385TMY,ENCSR104ABF,"ENCFF907GMX,ENCFF256FBW,ENCFF693JKG,ENCFF528ELC","ENCFF397HZZ,ENCFF665YCW","ENCFF470RYI,ENCFF974AAP",ENCFF003SFV,ENCFF473NGX,ENCFF436FYC,ENCFF096ZPP,ENCFF013AMG,ENCFF530WRH,non-target,"ENCFF291QQH,ENCFF602GIQ,ENCFF503VRZ,ENCFF105YHI","ENCFF988VWE,ENCFF893QHC","ENCFF653XRX,ENCFF401ECA"
TUFM,HepG2,ENCSR459EMR,ENCSR042QTH,"ENCFF939PHY,ENCFF263DFL,ENCFF750DNI,ENCFF471LKZ","ENCFF997JOB,ENCFF904ZSQ","ENCFF073UQO,ENCFF502VHY",ENCFF893DVR,ENCFF018YUK,ENCFF540UQM,ENCFF477OCZ,ENCFF099HBQ,ENCFF674GDK,non-target,"ENCFF399RNY,ENCFF964LLJ,ENCFF546VNH,ENCFF420URE","ENCFF829TUN,ENCFF350VVR","ENCFF726AVT,ENCFF657KMW"
DDX47,HepG2,ENCSR388CNS,ENCSR968BBQ,"ENCFF387OIP,ENCFF864OJU,ENCFF670FLG,ENCFF927LZT","ENCFF031QPS,ENCFF249GRD","ENCFF461UVN,ENCFF859NYU",ENCFF496XJQ,ENCFF648RMX,ENCFF047ZRU,ENCFF233JIC,ENCFF882VVH,ENCFF979HRC,non-target,"ENCFF814RUM,ENCFF797XKP,ENCFF271YDX,ENCFF351BDU","ENCFF459DPA,ENCFF918YBN","ENCFF556QNB,ENCFF386QZI"
HNRNPC,HepG2,ENCSR052IYH,ENCSR305XWT,"ENCFF801LSJ,ENCFF078KLK,ENCFF970UVV,ENCFF682EBX","ENCFF531AUK,ENCFF031QZG","ENCFF132FTR,ENCFF064QUI",ENCFF820GXK,ENCFF342XUF,ENCFF137DIZ,ENCFF148OVQ,ENCFF382RKS,ENCFF467JUP,non-target,"ENCFF711JSH,ENCFF941XAQ,ENCFF701KJC,ENCFF603JIF","ENCFF460AAE,ENCFF058QDT","ENCFF024EGT,ENCFF939PSG"
GRSF1,HepG2,ENCSR674KDQ,ENCSR279HMU,"ENCFF330UXF,ENCFF697QSK,ENCFF896PNO,ENCFF962ZNH","ENCFF993GPN,ENCFF017PWT","ENCFF441AXE,ENCFF087ZBJ",ENCFF995GOR,ENCFF412BDX,ENCFF121PEG,ENCFF206BRZ,ENCFF675ZXE,ENCFF882NRA,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
PNPT1,HepG2,ENCSR880DEH,ENCSR279HMU,"ENCFF883DXE,ENCFF517NIP,ENCFF769NCC,ENCFF642NRZ","ENCFF881HFB,ENCFF447EEQ","ENCFF713WHR,ENCFF056AWY",ENCFF706ILO,ENCFF008MCY,ENCFF914LQB,ENCFF025JPB,ENCFF976JZW,ENCFF825YCE,non-target,"ENCFF366MJN,ENCFF259JKZ,ENCFF006BJQ,ENCFF271EDI","ENCFF610JDV,ENCFF481PMW","ENCFF340RWX,ENCFF286KOT"
RPL23A,HepG2,ENCSR706SXN,ENCSR674KEK,"ENCFF315AQR,ENCFF985OVL,ENCFF665BGI,ENCFF593XTS","ENCFF783ONX,ENCFF321SLT","ENCFF699OJU,ENCFF178VCW",ENCFF408NTE,ENCFF332VZE,ENCFF588KSD,ENCFF713XJX,ENCFF556OBI,ENCFF989VFZ,non-target,"ENCFF006QAK,ENCFF278VBD,ENCFF613HXG,ENCFF989HXZ","ENCFF505HKR,ENCFF142SQX","ENCFF252YUA,ENCFF909SGR"
NSUN2,HepG2,ENCSR629RUG,ENCSR264TUE,"ENCFF479OMX,ENCFF695VTW,ENCFF510DOQ,ENCFF599JMC","ENCFF437CON,ENCFF151XPE","ENCFF629UHW,ENCFF270MGB",ENCFF926MDT,ENCFF334RYT,ENCFF547MMC,ENCFF671KYM,ENCFF210KUB,ENCFF599NNH,non-target,"ENCFF427IYE,ENCFF554VFV,ENCFF032JQZ,ENCFF191JJU","ENCFF742IJE,ENCFF231NKH","ENCFF324NDP,ENCFF562MRH"
IGF2BP2,HepG2,ENCSR478FJK,ENCSR237YZT,"ENCFF972SDY,ENCFF453XVV,ENCFF972OQE,ENCFF391NQR","ENCFF139QDN,ENCFF563UBV","ENCFF902XXW,ENCFF015LIE",ENCFF601WVA,ENCFF170QJU,ENCFF307XVU,ENCFF857DVQ,ENCFF800VSZ,ENCFF058TZD,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
SRSF3,HepG2,ENCSR376FGR,ENCSR264TUE,"ENCFF294JZJ,ENCFF326ASD,ENCFF304DSP,ENCFF404VDD","ENCFF263ZLE,ENCFF808OJZ","ENCFF610GKC,ENCFF772PIO",ENCFF333MZJ,ENCFF733SKZ,ENCFF692IRN,ENCFF426PIU,ENCFF230TVJ,ENCFF142FSQ,non-target,"ENCFF427IYE,ENCFF554VFV,ENCFF032JQZ,ENCFF191JJU","ENCFF742IJE,ENCFF231NKH","ENCFF324NDP,ENCFF562MRH"
EFTUD2,HepG2,ENCSR620OKS,ENCSR689PHN,"ENCFF242RPJ,ENCFF388HVN,ENCFF662YCZ,ENCFF156VYR","ENCFF944XRD,ENCFF718GZU","ENCFF935PWG,ENCFF922UIP",ENCFF191SCC,ENCFF831NRD,ENCFF118NKS,ENCFF080LJP,ENCFF129JTT,ENCFF596PVF,non-target,"ENCFF793WXG,ENCFF201DSF,ENCFF344ITC,ENCFF314EUX","ENCFF628UPI,ENCFF561UZL","ENCFF813RCD,ENCFF065EZU"
SERBP1,HepG2,ENCSR820ROH,ENCSR689PHN,"ENCFF636OQE,ENCFF268NFX,ENCFF978XAG,ENCFF602CDV","ENCFF670IQK,ENCFF459VBK","ENCFF213FGU,ENCFF665MGA",ENCFF027KRA,ENCFF509FTQ,ENCFF266VDD,ENCFF625QTU,ENCFF284BRW,ENCFF120MRJ,non-target,"ENCFF793WXG,ENCFF201DSF,ENCFF344ITC,ENCFF314EUX","ENCFF628UPI,ENCFF561UZL","ENCFF813RCD,ENCFF065EZU"
CELF1,HepG2,ENCSR695XOD,ENCSR042QTH,"ENCFF686WWE,ENCFF858NBJ,ENCFF801TRT,ENCFF397MRU","ENCFF464STX,ENCFF082FOH","ENCFF975NIV,ENCFF959UJT",ENCFF011KYY,ENCFF743ZRR,ENCFF207ZUO,ENCFF360RIA,ENCFF890BMK,ENCFF720YIU,non-target,"ENCFF399RNY,ENCFF964LLJ,ENCFF546VNH,ENCFF420URE","ENCFF829TUN,ENCFF350VVR","ENCFF726AVT,ENCFF657KMW"
