RBP,Cell_line,RNA-Seq_exp,Control_exp,RBP knockdown fastq files,RBP knockdown bam files,RBP knockdown RSEM,RBP knockdown CUFFDIFF,RBP knockdown DESeq,RBP knockdown MISO,RBP knockdown rMATS,RBP knockdown DESeq after batch Correction,RBP knockdown rMATS after batch Correction,Non-target control datasets,Control fastq files,Control bam files,Control RSEM
MAGOH,HepG2,ENCSR746EKS,ENCSR237YZT,"ENCFF303LTZ,ENCFF701CTE,ENCFF346ZXG,ENCFF233BKW","ENCFF629OTS,ENCFF809RUA","ENCFF308ELQ,ENCFF229MZD",ENCFF740SRX,ENCFF776JMC,ENCFF197YVE,ENCFF702KLT,ENCFF295XXJ,ENCFF095ERT,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
ATP5C1,HepG2,ENCSR713OLV,ENCSR067GHD,"ENCFF895BDK,ENCFF933QDD,ENCFF334BJT,ENCFF189GFD","ENCFF817IOG,ENCFF652MXA","ENCFF090FUG,ENCFF690FYP",ENCFF936JJU,ENCFF614BJC,ENCFF186SIJ,ENCFF347PSO,ENCFF034JMS,ENCFF496PMP,non-target,"ENCFF773HLT,ENCFF768JSC,ENCFF914FKR,ENCFF838TBG","ENCFF774FAK,ENCFF103PVI","ENCFF990KGR,ENCFF992TTT"
LSM11,HepG2,ENCSR883BXR,ENCSR674KEK,"ENCFF378XSA,ENCFF607UZB,ENCFF194USN,ENCFF010WNS","ENCFF101FLQ,ENCFF245MMG","ENCFF589CTM,ENCFF600BDG",ENCFF692XYA,ENCFF176BOL,ENCFF314JCP,ENCFF137QRO,ENCFF850UCL,ENCFF482HPS,non-target,"ENCFF006QAK,ENCFF278VBD,ENCFF613HXG,ENCFF989HXZ","ENCFF505HKR,ENCFF142SQX","ENCFF252YUA,ENCFF909SGR"
CALR,HepG2,ENCSR040WAK,ENCSR364GRM,"ENCFF488QAT,ENCFF081MJU,ENCFF080GES,ENCFF992IIL","ENCFF495QHS,ENCFF418UCJ","ENCFF528ECH,ENCFF427MTH",ENCFF574AWA,ENCFF089SET,ENCFF198IML,ENCFF241MQA,ENCFF137FIH,ENCFF254VYI,non-target,"ENCFF327YPN,ENCFF150UHB,ENCFF244GPS,ENCFF587DIQ","ENCFF304DEE,ENCFF379PKN","ENCFF404VVI,ENCFF002VSQ"
RBM39,HepG2,ENCSR760EGM,ENCSR104ABF,"ENCFF643IQM,ENCFF940VDD,ENCFF525BYQ,ENCFF214RCT","ENCFF161VUQ,ENCFF907LAX","ENCFF097CMF,ENCFF496UIT",ENCFF223QOC,ENCFF887QPX,ENCFF029MZZ,ENCFF780SGK,ENCFF574UFA,ENCFF572NMQ,non-target,"ENCFF291QQH,ENCFF602GIQ,ENCFF503VRZ,ENCFF105YHI","ENCFF988VWE,ENCFF893QHC","ENCFF653XRX,ENCFF401ECA"
SF3B4,HepG2,ENCSR148MQK,ENCSR603TCV,"ENCFF823ZLQ,ENCFF541HLQ,ENCFF825DLG,ENCFF855NHU","ENCFF987GMJ,ENCFF283MXG","ENCFF503EWD,ENCFF746STC",ENCFF229HQI,ENCFF822KIN,ENCFF516TIF,ENCFF269UDR,ENCFF954COO,ENCFF478EYZ,non-target,"ENCFF025YLM,ENCFF697WWV,ENCFF317AWM,ENCFF023MFT","ENCFF755GKJ,ENCFF571ARP","ENCFF334SUT,ENCFF262BZV"
EIF4G1,HepG2,ENCSR509LIV,ENCSR042QTH,"ENCFF457UXJ,ENCFF445RNI,ENCFF118DRU,ENCFF854SOV","ENCFF692EUM,ENCFF648QEW","ENCFF955TXI,ENCFF049UZV",ENCFF860LVA,ENCFF593JBL,ENCFF099OWZ,ENCFF562RZZ,ENCFF853TCL,ENCFF274ZRA,non-target,"ENCFF399RNY,ENCFF964LLJ,ENCFF546VNH,ENCFF420URE","ENCFF829TUN,ENCFF350VVR","ENCFF726AVT,ENCFF657KMW"
G3BP1,HepG2,ENCSR074UZM,ENCSR237YZT,"ENCFF826MUD,ENCFF358XGE,ENCFF281GKZ,ENCFF928RWG","ENCFF433ERW,ENCFF012GYQ","ENCFF832SEF,ENCFF261DZS",ENCFF040NUK,ENCFF615XAE,ENCFF816ZBP,ENCFF849JRY,ENCFF126NCR,ENCFF853OQD,non-target,"ENCFF801YDB,ENCFF794CUL,ENCFF619LUS,ENCFF200OMG","ENCFF857QSU,ENCFF052HTH","ENCFF427UKK,ENCFF025LXR"
EIF3H,HepG2,ENCSR964YLV,ENCSR853AOV,"ENCFF339KWQ,ENCFF013HID,ENCFF036PPZ,ENCFF492VLP","ENCFF371UOX,ENCFF444CHN","ENCFF143LFH,ENCFF329HKV",ENCFF663RHV,ENCFF301PBP,ENCFF057VIK,ENCFF473CBX,ENCFF510DQX,ENCFF266GQU,non-target,"ENCFF683KQQ,ENCFF224AVH,ENCFF784BBJ,ENCFF559ZHD","ENCFF030GVE,ENCFF996LFJ","ENCFF074PYI,ENCFF639KOJ"
MTPAP,HepG2,ENCSR701GSV,ENCSR264TUE,"ENCFF529ESP,ENCFF996LTS,ENCFF243MHI,ENCFF573WYT","ENCFF748NRY,ENCFF761AIG","ENCFF705VFF,ENCFF896XVO",ENCFF552GUR,ENCFF414TVO,ENCFF921YKQ,ENCFF596BII,ENCFF944IWR,ENCFF163UBA,non-target,"ENCFF427IYE,ENCFF554VFV,ENCFF032JQZ,ENCFF191JJU","ENCFF742IJE,ENCFF231NKH","ENCFF324NDP,ENCFF562MRH"
