group_id	chunk_id
13931	13
32227	13
32519	13
8051	13
24393	13
8992	13
23006	13
8787	13
14307	13
16899	13
22054	13
9332	13
22711	13
25502	13
12781	13
16884	13
23497	13
51	13
16899	13
5616	13
11339	13
9761	13
22054	13
31994	13
16283	13
1343	13
9332	13
1170	13
8503	13
22711	13
18295	13
10707	13
9791	13
25502	13
29358	13
17706	13
7312	13
12781	13
25706	13
3524	13
19646	13
30389	13
18958	13
33110	13
8766	13
3524	13
3242	13
26834	13
16055	13
19646	13
21333	13
26293	13
24334	13
22000	13
32271	13
22590	13
30389	13
13147	14
1704	14
3932	14
27256	14
19266	14
27189	14
2156	14
10468	14
30899	14
24329	14
1700	14
12010	14
14336	14
15399	14
24929	14
18977	15
15627	15
21901	15
29196	15
30335	15
3261	15
25296	15
25421	15
20779	15
10551	15
31417	15
9620	15
22991	15
26283	15
32536	15
18460	15
13203	15
26962	15
18977	15
12530	15
27224	15
30176	15
15627	15
21770	15
10534	15
20797	15
16336	15
13289	15
23281	15
21901	15
21770	15
3864	15
8355	15
15490	15
10534	15
28282	15
20136	15
17973	15
20797	15
25511	15
3997	15
13698	15
14960	15
1814	15
3001	15
1879	15
5361	15
18580	15
14960	15
589	15
20556	15
22481	15
1814	15
11032	15
8471	15
22322	15
3001	15
14697	15
12314	15
12595	15
2780	15
16749	15
19573	15
28850	15
17196	15
1879	15
14440	15
22910	15
10717	15
5361	15
19297	15
22533	15
18274	15
18580	15
1421	15
31385	16
15980	16
20202	16
30127	16
2340	16
5329	16
239	16
22192	16
7402	16
18897	16
32713	16
19104	16
4301	16
28771	16
28437	16
28429	17
29959	17
27385	17
32543	17
25404	17
6979	17
3978	17
13051	17
30582	17
27118	17
372	17
29759	17
28655	17
8641	17
28483	17
27090	18
19846	18
5120	18
5880	18
27976	18
15329	18
465	18
27692	18
11129	18
9335	18
21246	18
22505	18
16231	18
22809	18
5743	18
21802	18
4587	18
3865	18
10832	18
27976	18
9435	18
10682	18
7396	18
15329	18
5543	18
21467	18
27220	18
465	18
18430	18
1555	18
23229	18
21802	18
5179	18
3881	18
11681	18
1886	18
23535	18
7337	18
4587	18
11981	18
2470	18
7916	18
3865	18
9702	18
23852	18
11720	19
27777	19
26301	19
11044	19
16999	19
19136	19
17325	19
1665	19
32645	19
9233	19
9028	19
33039	19
19451	19
6918	19
1196	19
27438	20
22	20
32553	20
4135	20
28018	20
29334	20
12934	20
1219	20
31736	20
19629	20
33232	20
10499	20
5004	20
24778	20
2816	20
28398	21
13298	21
24182	21
1660	21
9679	21
13712	21
7132	21
17894	21
28249	21
30809	21
8673	21
12023	21
28432	21
8647	21
16238	21
17280	21
10618	21
28249	21
21587	21
1972	21
2925	21
30809	21
24376	21
26863	21
2215	21
25970	21
19996	21
25017	21
8673	21
16737	21
26863	21
9650	21
6477	21
959	21
2215	21
14117	21
4494	21
25381	21
33260	21
11185	21
30546	21
25970	21
12475	21
28911	21
26930	21
15994	21
24792	21
33299	21
